¹;Tashkilot;INN;Telefon
;;;
1;“Àáàò ì?ê?í” ÌÏÆ;310218544;99 682 28 28
2;“Àéäûí æîë” ÌÏÆ;202775398;91 384 06 48
3;“À? æà?ûñ” ÌÏÆ;205211306;97 357 51 80
4;“À? îòà¢” ÌÏÆ;207027270;91 377 62 41
5;“Àëëàíèÿç ?à?àğìàí” ÌÏÆ;207096890;99 957 81 71
6;“Àëìàçàğ” ÌÏÆ;201895162;97 353 95 59
7;“Àëòûí æà?ûñ” ÌÏÆ;207337978;99 731 75 15
8;“Àìàíëû? ã?çàğû” ÌÏÆ;207337961;91 393 10 61
9;“Àíàñàé” ÌÏÆ;205211321;93 369 35 02
10;“Àòà ì?ê?í” ÌÏÆ;306882458;97 655 66 56
11;“Áàéòåğåê” ÌÏÆ;202714615;90 651 48 24
12;“Áà?øûëû?” ÌÏÆ;202838800;90-651 22 01
13;“Áåğåêåò” ÌÏÆ;207049798;91 399 39 81
14;“Áåñò?áå” ÌÏÆ;205226999;99 734 14 71
15;“Áîç à¢ûë” ÌÏÆ;206993608;90 701 64 10
16;“Áîòàíèêà áà?û” ÌÏÆ;202698596;90 702 72 70
17;“Âàòàíïàğâàğ” ÌÏÆ;207289254;954604048
18;“??ğåçñèçëèê” ÌÏÆ;207061104;913893832
19;“Ã?íå ?àëà” ÌÏÆ;202676924;90 658 75 00
20;“Ã?çàğ” ÌÏÆ;207010239;91-371 72 11
21;“Ã?ëçàğ” ÌÏÆ;207151578;90 709 50 33
22;“Ä?ğáåíò” ÌÏÆ;202809360;99 689 71 72
23;“Äîñëû? ã?çàğû” ÌÏÆ;207151561;91 303 82 17
24;“Äîñëû?” ÌÏÆ;202227564;93 362 65 01
25;“Åëèàáàò” ÌÏÆ;202775406;90-735 45 44
26;“Æàéõóí” ÌÏÆ;205170604;99 682 22 81 
27;“Æà?à áàçàğ” ÌÏÆ;202797670;91 306 19 67
28;“Æà?à çàìàí” ÌÏÆ;310218552;91 383 31 77
29;“Æàñ ?¢ëàä” ÌÏÆ;310216760;913709178
30;“Æàñûë áà?” ÌÏÆ;310222730;91 274 79 10
31;“Æåêå òåğåê” ÌÏÆ;202030139;93 369 79 10
32;“Æèéäåëè áàéñûí” ÌÏÆ;205211345;919303515
33;“Æèïåê æîëû” ÌÏÆ;207151585;90 650 38 96
34;“Æîëøûëàğ” ÌÏÆ;202809400;91 371 68 81
