Ташкилот номи;СТИР;
"""Hira baxolash group"" mas`uliyati cheklangan jamiyati";309553437;
“Business-ocenka” mas’uliyati cheklangan jamiyati;310325737;
Respublika aerogeodeziya markazi Qoraqalpog'iston Respublikasi bo'linmasi;308538684;
Мәмлекетлик кадастрлары палатасы Қарақалпақстан Республикасы басқармасы Нөкис қаласы филиалы;205613858;
Kadastr agentligi Qaraqalpaqstan Respublikası basqarmasınıń Nókis qalası bólimi;200358284;
Byudjetten tısqarı pensiya qorı Nókis qalası bólimi;207059209;
“Tadbirkorlikni rivojlantirish kompaniyasi” AJ Qoraqalpog‘iston Respublikasi  hududiy filiali;305109064;
Qoraqalpog'iston Respublikasi Iqtisodiyot va moliya vazirligi;201036154;
Nókis qalası Ekonomika hám finanas bólimi;202034948;
Qoraqalpog'iston Respublikasi iqtisodiyot va moliya vazirligi huzuridagi maxsus jamg'arma mablag'larni boshqarish yonalishlar ishini tahlil qilish va pul tushumlari monitoringi guruhi;311293864;
Nókis qalası ǵaznashılıq xızmeti bólimi;206921008;
Қорақалпоғистон Республикаси Чигиртка ва тут парвонасига қарши кураш хизмати;308999222;
Qoraqalpog'iston respublikasi agrokimyoviy tahlil markazi ;201578120;
Қишлоқ хўжалигида билим ва инновациялар миллий марказининг Қорақалпоғистон Республикаси агрохизматлар маркази;200356904;
Самарқанд Мәмлекетлик ветеринария медицинасы, шарўашылық ҳәм биотехнологиялар университети Нөкис филиалы;207288589;
Өзбекстан Республикасы жоқары билимлендириў, илим ҳәм инновациялар министрлиги жанындағы Нөкис ветеринария медицинасы техникумы;207313288;
Қорақалпоғистон Республикаси ҳайвонлар касалликлари ташхиси ва озиқ-овқат маҳсулотлари хавфсизлиги давлат маркази;202030154;
Nókis qalası Veterinariya hám sharwashılıqtı rawajlandırıw bólimi;202029683;
"""Уруғчиликни ривожлантириш маркази"" Давлат корхонаси Қорақалпоғистон Республикаси бошқамаси";305640584;
Qaraqalpaqstan qishloq xojalıgı ham agrotexnologiyalar institutı;204589604;
Agrosanoatni rivojlantirish agentligi Qoraqalpog‘iston Respublikasi bo'limi;306268516;
“Ўздаверлойиҳа” давлат илмий-лойиҳалаш институти “ҚРерлойиҳа” Қорақалпоғистон Республикаси бўлинмаси;200363080;
“Qoraqalpoq baliq” yuridik shaxslarning birlashmasi, (uyushma);311220432;
Қорақалпоғистон Республикаси Юридик техникуми;207085138;
Қарақалпақ мәмлекетлик университети академик лицейи;202029636;
Қарақалпақ мәмлекетлик университети жанындағы Педагог кадрларды қайта таярлаў ҳәм олардың қәнийгелигин жетилистириў аймақлық орайы;207163444;
Нукус давлат педагогика институти Академик лицейи;202035273;
Ўзбекистон талабалар спорти ассоциациясининг Нукус давлат педагогика институти спорт клуби;207285427;
Ўзбекистон давлат санъат ва маданият институти Нукус филиали;206964627;
Ўзбекистон Давлат жисмоний тарбия ва спорт университетининг Нукус филиали;207289183;
Nókis qalası 1-sanlı politexnikumı;201072284;
Nókis qalası 2-sanlı politexnikumı;202035154;
“Aralboyı medicina hám transport texnikumi” juwapkershiligi sheklengen jámiyeti;311169115;
“University of innovation technologies” nodavlat ta'lim muassasasi;308964131;
Nukus davlat texnika universiteti;311903214;
Нукус рақамли технологиялар техникуми;308741339;
Қарақалпақстан Республикасы педагогикалық шеберлик орайы;202035123;
"Қарақалпақстан Республикасы ""Баркамал әўлат"" балалар мектеби";207123438;
"Өзбекстан ""Жаслық"" дене тәрбиясы ҳәм спорт жәмиетиниң Қарақалпақстан аймақлық бөлими";200358276;
Республикалық балалар китипханасы;206793904;
