Tashkilot nomi;STIR;
"""Hira baxolash group"" mas`uliyati cheklangan jamiyati";309553437;
“Business-ocenka” mas’uliyati cheklangan jamiyati;310325737;
Respublika aerogeodeziya markazi Qoraqalpog'iston Respublikasi bo'linmasi;308538684;
Mámleketlik kadastrları palatası Qaraqalpaqstan Respublikası basqarması Nókis qalası filialı;205613858;
Kadastr agentligi Qaraqalpaqstan Respublikası basqarmasınıń Nókis qalası bólimi;200358284;
Byudjetten tısqarı pensiya qorı Nókis qalası bólimi;207059209;
“Tadbirkorlikni rivojlantirish kompaniyasi” AJ Qoraqalpog‘iston Respublikasi  hududiy filiali;305109064;
Qoraqalpog'iston Respublikasi Iqtisodiyot va moliya vazirligi;201036154;
Nókis qalası Ekonomika hám finanas bólimi;202034948;
Qoraqalpog'iston Respublikasi iqtisodiyot va moliya vazirligi huzuridagi maxsus jamg'arma mablag'larni boshqarish yonalishlar ishini tahlil qilish va pul tushumlari monitoringi guruhi;311293864;
Nókis qalası ǵaznashılıq xızmeti bólimi;206921008;
Qoraqalpog'iston Respublikasi Chigirtka va tut parvonasiga qarshi kurash xizmati;308999222;
Qoraqalpog'iston respublikasi agrokimyoviy tahlil markazi ;201578120;
Qishloq xo'jaligida bilim va innovatsiyalar milliy markazining Qoraqalpog'iston Respublikasi agroxizmatlar markazi;200356904;
Samarqand Mámleketlik veterinariya medisinası, sharwashılıq hám biotexnologiyalar universiteti Nókis filialı;207288589;
Ózbekstan Respublikası joqarı bilimlendiriw, ilim hám innovasiyalar ministrligi janındaǵı Nókis veterinariya medisinası texnikumı;207313288;
Qoraqalpog'iston Respublikasi hayvonlar kasalliklari tashxisi va oziq-ovqat mahsulotlari xavfsizligi davlat markazi;202030154;
Nókis qalası Veterinariya hám sharwashılıqtı rawajlandırıw bólimi;202029683;
"""Urug'chilikni rivojlantirish markazi"" Davlat korxonasi Qoraqalpog'iston Respublikasi boshqamasi";305640584;
Qaraqalpaqstan qishloq xojalıgı ham agrotexnologiyalar institutı;204589604;
Agrosanoatni rivojlantirish agentligi Qoraqalpog‘iston Respublikasi bo'limi;306268516;
“O'zdaverloyiha” davlat ilmiy-loyihalash instituti “QRerloyiha” Qoraqalpog'iston Respublikasi bo'linmasi;200363080;
“Qoraqalpoq baliq” yuridik shaxslarning birlashmasi, (uyushma);311220432;
Qoraqalpog'iston Respublikasi Yuridik texnikumi;207085138;
Qaraqalpaq mámleketlik universiteti akademik liseyi;202029636;
Qaraqalpaq mámleketlik universiteti janındaǵı Pedagog kadrlardı qayta tayarlaw hám olardıń qániygeligin jetilistiriw aymaqlıq orayı;207163444;
Nukus davlat pedagogika instituti Akademik litseyi;202035273;
O'zbekiston talabalar sporti assotsiatsiyasining Nukus davlat pedagogika instituti sport klubi;207285427;
O'zbekiston davlat san'at va madaniyat instituti Nukus filiali;206964627;
O'zbekiston Davlat jismoniy tarbiya va sport universitetining Nukus filiali;207289183;
Nókis qalası 1-sanlı politexnikumı;201072284;
Nókis qalası 2-sanlı politexnikumı;202035154;
“Aralboyı medicina hám transport texnikumi” juwapkershiligi sheklengen jámiyeti;311169115;
“University of innovation technologies” nodavlat ta'lim muassasasi;308964131;
Nukus davlat texnika universiteti;311903214;
Nukus raqamli texnologiyalar texnikumi;308741339;
Qaraqalpaqstan Respublikası pedagogikalıq sheberlik orayı;202035123;
"Qaraqalpaqstan Respublikası ""Barkamal áwlat"" balalar mektebi";207123438;
"Ózbekstan ""Jaslıq"" dene tárbiyası hám sport jámiyetiniń Qaraqalpaqstan aymaqlıq bólimi";200358276;
Respublikalıq balalar kitipxanası;206793904;
